default,limit_bal,sex.1,sex.2,education.1,education.3,education.2,education.4,marriage.1,marriage.2,marriage.3,age,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6
Neg,0.02666666666666667,0,1,1,0,0,0,0,1,0,0.1111111111111111,0.01818125481987441,0.06263872039896988,0.01907307370993492,0.05086469815914002,0.15314294921615831,0.39067163891522183,0.00678980659914883,0.0011874658232492747,0,0.006826823956690629,0,0.002369668246445498
Pos,0.36,1,0,1,0,0,0,0,1,0,0.2222222222222222,0.0015458025779442547,0.04344823054869577,0.01072128291498072,0.02873437457260866,0.12899582330230824,0,0.0024388985304142595,1.9296319627800713e-4,0.002261440673697783,0.0011093588929622271,0,0.8182298578199052
Neg,0.3333333333333333,0,1,1,0,0,0,1,0,0,0.18518518518518517,0.45390822959127464,0.4544740683998737,0.16542028011737459,0.47440951612462046,0.545810980734113,0.665243035714089,0.02442429229845817,0.005641056393345679,0.024117836672609874,0.03271414040046149,0.026382469342178465,0.021964454976303317
Neg,0.3466666666666667,0,1,1,0,0,0,0,1,0,0.2777777777777778,0.005952544893687342,0.04815170342640387,0.01634979292957822,0.04520432725183949,0.1388436044711517,0.3744633858194026,0.010410131477814987,0.0058132389377168235,0.02652282090800117,0.022388569165966918,0.0013183324676283462,0.0022772511848341234
Pos,0.4666666666666667,1,0,0,0,1,0,1,0,0,0.5555555555555556,0.006112633579376446,0.0473744685556412,0.012016922395416801,0.03040974862550945,0.13046019499680903,0.3746021155177976,0,0,0,0,0,0.0014834123222748816
Neg,0.10666666666666667,1,0,1,0,0,0,0,1,0,0.2222222222222222,8.572490911093974e-4,0.04280721209858223,0.010824149197732185,0.02805054842856752,0.13398290144636324,0.37698804612432163,0.001352529474550447,2.9567898998906936e-4,0.001254117433743314,0.011885500508598384,0,0.0011445497630331754
Neg,0.25333333333333335,1,0,0,1,0,0,1,0,0,0.14814814814814814,0.026605706731298886,0.116719844488924,0.02416525200752767,0.04144841215569354,0.1300163023903854,0.37862307471254875,0.12689333757017265,0.013646950973692288,0.021017799401649995,0.0033144230309733002,0.011327112561862751,0.051580568720379145
Neg,0.08,1,0,0,0,1,0,0,1,0,0.16666666666666666,0.11820397708493996,0.14737655186560408,0.050889079822451604,0.14543443474930934,0.2363183136504085,0.4419091408557861,0.006374270435280921,0.001889258124789596,0.007917560666042127,0.008874871143697817,0.006222529247205794,0.003080568720379147
Neg,0.09333333333333334,1,0,0,1,0,0,0,1,0,0.09259259259259259,0.12335607855018178,0.1541024379534204,0.05497756860972949,0.15666798873054513,0.246006546231178,0.4621471613811753,0,0.0035623974697478237,0.007051262679681283,0,0.018456654546796847,1.895734597156398e-5
Neg,0.21333333333333335,0,1,1,0,0,0,0,1,0,0.2777777777777778,4.269031618376115e-4,0.04334246250442703,0.010775391768913572,0.031138023468913263,0.12899266392432657,0.3727105470904749,0.0038457464577578973,0,0.005802181862137741,0,0,0
Pos,0.05333333333333334,1,0,0,0,1,0,1,0,0,0.12962962962962962,0.048627368623994714,0.07294469453067033,0.013942246230961563,0.027199184879236303,0.08033192425075351,0.3739767308456676,0.0032482434770328,0.0011874658232492747,2.014646479908938e-5,0,0.10561952397651259,0.1165
Neg,0.02666666666666667,0,1,0,0,0,1,1,0,0,0.2777777777777778,0.015215310675333259,0.04200914412819087,0.013109802324302307,0.028378784977707266,0.128482424380288,0.3740218730491136,0,0.002577988302274175,0.001737632588921459,0,2.6102982859041256e-4,0
Pos,0.28,0,1,0,0,0,1,1,0,0,0.2962962962962963,0.3270215930373471,0.34595605498015247,0.11260290344542587,0.3131992122322821,0.40025527774091835,0.5529017078066284,0.04212396014111934,0,0.01385069454937395,0.02474723684300353,0.017138322079168503,0.008293838862559242
Neg,0.29333333333333333,0,1,0,0,1,0,0,1,0,0.3148148148148148,0.017621805111821088,0.046488260548359236,0.011330750775213389,0.02783343362783446,0.13318989757296584,0.3739128711432318,0.007591003777848391,8.015394306932603e-4,9.3429230505777e-4,0.010171967695469037,0,0.005244075829383886
Neg,0.12,0,1,0,0,1,0,0,1,0,0.2222222222222222,0.1051576098931365,0.17223524736100718,0.045675007952812326,0.146957657485161,0.2622173146550907,0.43738501124701484,0.08150483841618256,0.005965234563092731,0.05036616199772345,0.05802800363187034,0.013183324676283463,0.023696682464454975
Neg,0.29333333333333333,0,1,0,0,1,0,1,0,0,0.12962962962962962,0.09216632698027982,0.1689083616049179,0.04024866288697493,0.08793320386225006,0.16724799221529266,0.39157117989608486,0.09777321502774315,7.255416180053068e-4,0.018912493830145156,0.0016759852813675493,0.01740198857269417,0
