id,default
1,0.296
2,0.406
3,0.42
4,0.638
5,0.116
6,0.1
7,0.622
8,0.234
9,0.308
10,0.648
11,0.388
12,0.566
13,0.094
14,0.074
15,0.344
16,0.354
17,0.508
18,0.404
19,0.3
20,0.038
21,0.25
22,0.236
23,0.752
24,0.286
25,0.292
26,0.524
27,0.208
28,0.182
29,0.354
30,0.252
31,0.336
32,0.276
33,0.308
34,0.242
35,0.488
36,0.158
37,0.234
38,0.7
39,0.568
40,0.476
41,0.06
42,0.55
43,0.54
44,0.38
45,0.154
46,0.258
47,0.662
48,0.344
49,0.468
50,0.686
51,0.442
52,0.536
53,0.12
54,0.604
55,0.448
56,0.102
57,0.368
58,0.182
59,0.354
60,0.068
61,0.258
62,0.198
63,0.066
64,0.154
65,0.182
66,0.218
67,0.354
68,0.306
69,0.212
70,0.464
71,0.418
72,0.312
73,0.368
74,0.21
75,0.234
76,0.406
77,0.39
78,0.296
79,0.118
80,0.28
81,0.4
82,0.06
83,0.196
84,0.518
85,0.296
86,0.544
87,0.548
88,0.12
89,0.14
90,0.236
91,0.372
92,0.626
93,0.258
94,0.608
95,0.14
96,0.094
97,0.24
98,0.268
99,0.402
100,0.19
101,0.254
102,0.186
103,0.372
104,0.314
105,0.202
106,0.478
107,0.16
108,0.462
109,0.294
110,0.192
111,0.236
112,0.22
113,0.132
114,0.306
115,0.218
116,0.12
117,0.548
118,0.332
119,0.568
120,0.096
121,0.104
122,0.564
123,0.254
124,0.11
125,0.326
126,0.496
127,0.13
128,0.35
129,0.322
130,0.284
131,0.334
132,0.228
133,0.332
134,0.288
135,0.284
136,0.54
137,0.086
138,0.084
139,0.276
140,0.546
141,0.486
142,0.324
143,0.518
144,0.428
145,0.264
146,0.676
147,0.14
148,0.196
149,0.61
150,0.474
151,0.394
152,0.398
153,0.362
154,0.22
155,0.312
156,0.204
157,0.342
158,0.252
159,0.514
160,0.372
161,0.126
162,0.072
163,0.12
164,0.384
165,0.118
166,0.442
167,0.262
168,0.214
169,0.406
170,0.094
171,0.248
172,0.346
173,0.36
174,0.306
175,0.638
176,0.296
177,0.34
178,0.418
179,0.36
180,0.678
181,0.252
182,0.156
183,0.256
184,0.712
185,0.314
186,0.41
187,0.446
188,0.154
189,0.324
190,0.402
191,0.574
192,0.568
193,0.382
194,0.396
195,0.554
196,0.296
197,0.17
198,0.19
199,0.204
200,0.24
201,0.708
202,0.606
203,0.262
204,0.188
205,0.326
206,0.428
207,0.22
208,0.156
209,0.598
210,0.676
211,0.14
212,0.33
213,0.234
214,0.338
215,0.526
216,0.386
217,0.48
218,0.176
219,0.18
220,0.584
221,0.546
222,0.194
223,0.268
224,0.172
225,0.4
226,0.334
227,0.36
228,0.236
229,0.708
230,0.338
231,0.228
232,0.218
233,0.748
234,0.184
235,0.108
236,0.544
237,0.122
238,0.476
239,0.292
240,0.31
241,0.504
242,0.25
243,0.416
244,0.328
245,0.332
246,0.358
247,0.166
248,0.202
249,0.266
250,0.186
251,0.264
252,0.278
253,0.392
254,0.406
255,0.488
256,0.242
257,0.256
258,0.24
259,0.084
260,0.19
261,0.242
262,0.694
263,0.658
264,0.164
265,0.162
266,0.046
267,0.292
268,0.212
269,0.514
270,0.772
271,0.05
272,0.322
273,0.04
274,0.394
275,0.314
276,0.278
277,0.56
278,0.376
279,0.43
280,0.186
281,0.206
282,0.424
283,0.096
284,0.086
285,0.31
286,0.272
287,0.082
288,0.272
289,0.296
290,0.238
291,0.154
292,0.308
293,0.568
294,0.11
295,0.286
296,0.66
297,0.214
298,0.172
299,0.232
300,0.266
301,0.542
302,0.702
303,0.768
304,0.282
305,0.402
306,0.268
307,0.438
308,0.548
309,0.108
310,0.086
311,0.404
312,0.624
313,0.206
314,0.452
315,0.252
316,0.22
317,0.414
318,0.506
319,0.086
320,0.492
321,0.164
322,0.56
323,0.428
324,0.354
325,0.262
326,0.356
327,0.544
328,0.328
329,0.262
330,0.508
331,0.372
332,0.1
333,0.206
334,0.226
335,0.624
336,0.356
337,0.22
338,0.206
339,0.434
340,0.248
341,0.156
342,0.186
343,0.602
344,0.552
345,0.222
346,0.14
347,0.272
348,0.31
349,0.1
350,0.138
351,0.594
352,0.418
353,0.456
354,0.396
355,0.358
356,0.16
357,0.206
358,0.274
359,0.254
360,0.65
361,0.358
362,0.166
363,0.198
364,0.5
365,0.1
366,0.212
367,0.352
368,0.352
369,0.324
370,0.348
371,0.714
372,0.38
373,0.444
374,0.174
375,0.128
376,0.548
377,0.448
378,0.68
379,0.164
380,0.22
381,0.202
382,0.092
383,0.278
384,0.09
385,0.332
386,0.318
387,0.104
388,0.324
389,0.266
390,0.082
391,0.21
392,0.478
393,0.598
394,0.046
395,0.126
396,0.186
397,0.29
398,0.164
399,0.362
400,0.242
401,0.484
402,0.552
403,0.456
404,0.428
405,0.18
406,0.456
407,0.07
408,0.288
409,0.178
410,0.218
411,0.454
412,0.264
413,0.364
414,0.424
415,0.096
416,0.194
417,0.186
418,0.47
419,0.154
420,0.298
421,0.308
422,0.416
423,0.514
424,0.508
425,0.12
426,0.334
427,0.182
428,0.282
429,0.332
430,0.556
431,0.206
432,0.194
433,0.2
434,0.096
435,0.088
436,0.586
437,0.252
438,0.166
439,0.52
440,0.756
441,0.626
442,0.292
443,0.334
444,0.116
445,0.308
446,0.36
447,0.336
448,0.234
449,0.252
450,0.218
451,0.304
452,0.272
453,0.272
454,0.628
455,0.528
456,0.444
457,0.326
458,0.266
459,0.506
460,0.316
461,0.29
462,0.314
463,0.27
464,0.224
465,0.172
466,0.29
467,0.58
468,0.424
469,0.592
470,0.112
471,0.406
472,0.394
473,0.214
474,0.328
475,0.51
476,0.538
477,0.248
478,0.28
479,0.328
480,0.524
481,0.254
482,0.372
483,0.376
484,0.34
485,0.366
486,0.056
487,0.094
488,0.242
489,0.15
490,0.208
491,0.216
492,0.608
493,0.244
494,0.444
495,0.164
496,0.308
497,0.65
498,0.668
499,0.308
500,0.502
501,0.144
502,0.188
503,0.366
504,0.268
505,0.61
506,0.232
507,0.288
508,0.19
509,0.686
510,0.258
511,0.22
512,0.644
513,0.3
514,0.698
515,0.312
516,0.062
517,0.408
518,0.144
519,0.534
520,0.546
521,0.518
522,0.202
523,0.514
524,0.262
525,0.222
526,0.63
527,0.35
528,0.384
529,0.184
530,0.2
531,0.244
532,0.388
533,0.192
534,0.414
535,0.278
536,0.276
537,0.17
538,0.218
539,0.312
540,0.406
541,0.198
542,0.146
543,0.498
544,0.438
545,0.216
546,0.354
547,0.188
548,0.272
549,0.078
550,0.158
551,0.476
552,0.352
553,0.52
554,0.322
555,0.206
556,0.638
557,0.358
558,0.362
559,0.324
560,0.238
561,0.228
562,0.372
563,0.502
564,0.228
565,0.342
566,0.286
567,0.116
568,0.398
569,0.54
570,0.358
571,0.21
572,0.686
573,0.302
574,0.062
575,0.216
576,0.274
577,0.096
578,0.348
579,0.352
580,0.524
581,0.206
582,0.174
583,0.376
584,0.26
585,0.638
586,0.11
587,0.116
588,0.586
589,0.2
590,0.19
591,0.436
592,0.104
593,0.068
594,0.318
595,0.438
596,0.272
597,0.374
598,0.454
599,0.482
600,0.198
601,0.144
602,0.544
603,0.082
604,0.228
605,0.19
606,0.146
607,0.03
608,0.246
609,0.422
610,0.216
611,0.242
612,0.35
613,0.21
