id,limit_bal,sex,education,marriage,age,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6
1,80000,2,2,2,22,858,1468,1724,2884,2994,28788,1000,1036,1196,306,26045,1513
2,50000,2,2,2,25,45688,47122,48888,37264,17486,18348,2500,3000,2000,1000,1000,1000
3,30000,1,1,1,52,14476,15297,8531,8020,-620,-620,1129,1152,1081,0,0,0
4,30000,1,2,2,37,1197,2536,1100,710,320,-70,2600,0,0,0,0,1000
5,360000,2,1,2,32,42524,53303,3924,43900,88865,12104,53563,3924,43900,50000,12104,960
6,270000,1,2,1,51,32108,32784,29891,24531,19391,8850,15000,10000,10000,10000,8850,22123
7,20000,2,2,2,36,12530,13518,14596,15550,16790,17175,1500,1600,1500,1500,800,0
8,130000,1,1,2,30,77939,78524,63421,60269,59984,27126,3916,3000,3000,3000,1000,2000
9,50000,2,2,1,31,50628,48748,46368,2443,6251,357,2350,3000,1000,6000,400,9844
10,40000,2,2,2,24,36890,36023,36993,38427,39875,39272,0,1989,2423,2000,0,1000
11,50000,1,1,2,24,49946,48808,45469,20228,18900,19066,0,2079,693,1080,700,1004
12,30000,2,2,1,22,14274,14367,13296,12516,0,0,1000,0,0,0,0,0
13,500000,1,1,1,45,5307,6583,5650,4472,67798,65653,6616,5678,4495,67969,65814,38464
14,300000,1,1,1,48,5036,32897,6493,23292,1254,7808,32898,6493,23324,1254,7808,3023
15,50000,1,3,2,58,7556,7312,6959,5813,3985,3169,1140,1048,163,135,151,2000
16,50000,1,1,2,32,13185,5070,6815,6068,7798,8511,1255,2000,0,2000,1000,500
17,110000,2,1,2,35,32691,36344,36055,36163,37028,38250,4500,600,1000,1600,2000,2000
18,80000,1,2,1,50,72269,75007,67150,44374,48974,35396,4000,3000,5000,37000,2000,2000
19,180000,2,1,2,29,100,0,0,0,0,0,0,0,0,0,0,0
20,250000,2,3,2,36,44242,58876,73068,102311,75543,88283,25000,24000,30000,25000,30000,25000
21,60000,1,1,2,28,59114,59350,62130,56391,39083,39122,2800,4905,10,1600,1600,1600
22,270000,2,1,1,45,218116,207533,204532,196061,180142,185838,10041,10064,9238,6000,8044,7030
23,30000,1,2,1,44,12351,13068,12568,13880,13849,14816,1216,0,1528,497,1192,0
24,170000,2,2,1,36,158651,143801,138145,125499,124205,123940,5428,4707,4400,4450,4650,4500
25,400000,2,1,1,28,6500,405016,391178,392932,394410,410127,405016,0,14000,13560,28000,0
26,10000,1,2,1,44,390,390,0,780,0,0,390,0,780,0,0,0
27,80000,1,1,2,28,80849,79422,76834,76333,49942,50191,3200,9000,3365,2000,2200,1700
28,200000,2,2,2,23,67821,4938,-849,107555,108177,110506,4938,473,110000,3899,4100,8000
29,50000,2,2,1,24,44159,41904,46174,40675,0,0,5000,5000,2000,0,0,0
30,170000,1,2,1,39,142509,143339,125864,112300,110371,113685,5000,20000,6000,5000,5000,3000
31,230000,1,2,1,39,326,326,326,326,326,326,326,326,326,326,326,324
32,30000,2,2,2,27,1473,2998,2946,1473,1473,28058,2998,1473,0,1473,28058,1100
33,50000,2,1,2,39,47381,48697,48322,45353,19426,19857,2116,2320,1300,1000,700,600
34,300000,2,1,2,34,0,0,0,0,0,1280,0,0,0,0,1280,0
35,20000,1,3,2,55,19978,18910,18962,19886,18978,17124,1594,1476,1400,380,342,672
36,270000,2,1,2,28,15167,841,9842,7931,3412,1035,845,9896,7977,17,1040,1848
37,230000,2,2,2,28,2454,1197,4556,4316,4316,4316,1197,4566,4316,4316,4316,4316
38,20000,1,2,2,36,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0
39,60000,1,2,2,25,56473,61514,61748,58583,28301,29301,6000,1800,0,600,1000,300
40,30000,2,2,2,24,27690,28543,8536,9497,29046,29873,1578,1239,1200,25000,1200,0
41,430000,2,1,2,30,31423,3650,44671,81979,9120,85407,3650,44671,82555,9120,85407,14261
42,20000,1,2,1,27,6599,9315,19067,18472,18037,18487,3000,10000,0,0,900,2000
43,20000,2,1,1,41,6249,5965,2417,1616,1616,3067,0,0,0,0,3067,0
44,150000,1,2,2,25,140662,144334,148016,150128,94834,97487,6000,6000,5176,5000,4002,3628
45,240000,1,1,1,38,4890,4157,14342,11411,3006,13268,4164,14371,11411,3006,13336,0
46,220000,1,4,2,23,181870,186428,190995,165452,170786,174213,7500,7500,7000,8000,8000,158956
47,50000,1,3,2,29,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0
48,100000,2,2,2,26,1734,6645,7725,11246,9755,8260,6649,2704,5250,4,0,24
49,50000,1,2,1,49,48321,48890,30272,31080,15315,15238,1839,1640,1901,526,537,577
50,20000,2,3,2,34,19381,20359,19360,20421,19832,18052,1600,300,1700,0,804,1000
51,140000,1,3,2,26,18648,19561,13902,14183,13207,12996,1309,1139,420,418,816,0
52,50000,1,3,2,26,48560,52047,50597,20378,18344,19618,4570,0,0,2000,2000,341
53,200000,1,2,1,29,1418,3052,3538,17091,2413,1301,3066,3555,17175,2435,1307,5839
54,50000,2,1,2,26,39052,44416,43407,44382,45672,46758,6000,0,2000,2000,2000,2000
55,150000,1,2,1,43,105416,106773,106500,104670,55442,55936,5800,4648,2000,2889,2700,94000
56,170000,2,1,2,30,171992,168531,171440,174643,165584,169230,6027,6300,8451,6000,6320,6700
57,100000,1,2,2,25,416,416,0,416,416,1850,416,0,832,416,1850,0
58,250000,1,2,2,30,170559,173347,177321,177580,170956,158503,6523,7992,6475,6050,6197,6000
59,260000,2,1,1,46,451,268,604,664,734,1076,268,604,664,734,1076,1220
60,560000,2,1,1,45,34669,150228,151425,143343,127225,130479,150000,60052,10268,27225,15000,20000
61,230000,2,2,1,43,7075,7806,8392,8967,8729,10816,1279,1295,1300,468,2816,5893
62,550000,2,4,2,52,277376,266532,256321,19753,464,8199,6001,6016,19753,464,8199,0
63,340000,2,1,2,29,132024,135687,138933,139824,142461,145269,6400,7000,5000,5200,5500,25000
64,180000,1,2,2,36,136613,133557,129909,133043,133835,132587,6600,6000,6000,6000,5000,6000
65,290000,1,4,1,52,302396,2000,2208,105145,106511,108228,2000,2604,215917,3685,3700,3786
66,110000,2,2,1,33,15605,20649,22397,23305,25341,30584,5649,2397,1305,2341,5584,1388
67,190000,1,1,2,25,3173,5270,5040,6050,6447,7339,2323,0,1103,500,1000,400
68,130000,2,1,2,27,0,0,0,0,0,0,0,0,0,0,0,623
69,50000,2,1,2,25,8540,9875,11396,13190,14967,16551,1479,2000,2000,2000,2000,4060
70,30000,1,3,2,31,28275,29772,27821,28075,29682,28001,2000,2000,2000,2014,2000,2000
71,50000,2,2,1,48,46589,48009,48942,36545,5107,4640,2500,2174,2117,117,4853,0
72,200000,1,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0
73,290000,2,1,1,39,264,264,264,264,264,264,264,264,264,264,264,264
74,50000,2,2,2,37,16090,38710,43085,42093,44393,45682,38710,5000,0,3000,2000,5000
75,90000,1,1,2,52,91671,91656,87106,48730,27535,27751,4508,5110,2000,3000,1000,3000
76,60000,2,2,2,24,53910,55028,56449,56273,28316,30763,2600,2900,2034,2000,3000,1000
77,70000,2,2,1,23,69951,70722,70815,63183,31633,31275,3200,3202,2989,1081,1099,1143
78,200000,2,3,1,50,162296,169288,168430,100175,95267,87086,13000,6900,4200,3000,3200,6000
79,200000,2,1,2,35,65503,66805,68726,70586,72409,73926,2394,3000,3000,3000,2685,2100
80,120000,2,2,1,26,9267,29600,1980,0,0,10853,29600,1980,0,0,42138,26341
81,100000,1,2,1,29,94453,95860,67782,-2618,95748,101299,3320,5000,0,100000,7186,0
82,500000,2,1,2,27,8328,24491,26085,27644,28884,32930,25450,2000,2000,2000,5000,5000
83,360000,2,2,2,29,0,1307,747,1707,792,1346,1307,747,1707,850,1346,0
84,30000,2,2,1,46,34713,32875,29088,26788,17014,3000,2000,4,2916,106,3000,0
85,150000,1,1,1,37,49112,48450,19790,50123,45987,46555,1510,1850,101123,1650,1700,0
86,50000,1,2,2,23,28569,27693,20401,17510,18038,16145,1400,1600,600,771,1000,305
87,70000,2,1,1,35,51143,53185,55030,56530,55027,58461,3500,3300,3000,0,4500,2500
88,120000,1,1,2,33,8578,6492,8268,6672,11724,4642,5502,7921,5700,10834,4000,3500
89,390000,1,1,1,35,14673,83728,67892,65246,68949,52724,83728,2637,2576,5000,2724,2000
90,240000,1,2,2,29,230979,222096,220129,217549,204008,202268,7347,6830,6700,6400,6412,6549
91,90000,2,2,1,55,81998,83674,80890,31565,33049,22694,4003,3000,3000,3000,2000,2000
92,20000,1,2,2,30,20586,20568,20185,20016,20044,20172,1300,700,700,1700,1600,700
93,50000,2,2,2,23,32206,65339,33329,20935,15809,16133,1630,6348,0,420,593,500
94,20000,1,3,1,36,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0
95,280000,2,1,2,31,0,0,0,0,710,7611,0,0,0,710,7611,4750
96,300000,1,2,2,30,18468,60489,63982,124493,16367,41338,61200,45153,102749,186,45079,40000
97,200000,2,2,2,35,72450,52795,41861,34531,1794,-345,5556,1000,2000,1000,0,0
98,50000,2,2,2,23,37259,32822,20669,4510,2893,2000,1750,1150,1000,300,400,800
99,80000,1,3,1,48,71515,70287,61892,26779,25464,25993,3679,2305,924,1069,1100,1110
100,230000,1,2,3,37,11770,16479,20474,26492,326,1056,10000,5000,16492,0,1056,326
101,200000,1,2,1,46,0,760,1281,1328,1114,1205,760,1281,1328,1114,1205,1403
102,200000,2,3,1,42,1261,1261,1261,1261,1261,1256,1261,1261,1261,1261,1256,1880
103,50000,2,3,2,46,47788,48885,49273,40385,36901,29263,2201,2250,1509,1329,1300,1200
104,360000,1,2,2,31,281600,281178,265549,244053,239088,193401,14128,11208,6554,7248,7122,6144
105,130000,2,3,1,39,1755,1890,735,1575,316,5039,1890,0,1575,316,5039,1156
106,100000,2,2,1,29,500,0,0,0,0,0,0,0,0,0,0,0
107,500000,2,1,1,37,993,1413,14123,159738,158400,160588,1413,14123,159738,4285,5001,4294
108,50000,2,3,1,39,48694,46514,47771,43739,29090,24317,1803,2060,2025,1375,1035,900
109,80000,1,2,2,32,78239,80426,81767,78340,36895,39079,4500,5009,5000,2000,4000,1500
110,260000,2,2,1,28,251811,256753,143240,150000,14098,28736,9388,5000,10000,14098,15000,15000
111,230000,1,1,1,45,24901,26071,27937,28774,29202,29683,1500,2200,2000,1100,1000,980
112,50000,2,1,2,24,3258,-37,18356,1851,8362,810,0,9252,1859,8362,810,1469
113,400000,2,1,1,32,0,3328,3328,3828,4893,4687,6656,3328,3828,4893,4687,3008
114,50000,1,2,2,33,8406,8418,8347,12321,6294,3333,3000,3000,7508,1000,1000,1500
115,200000,1,2,2,36,99483,97546,98897,94943,96967,99016,4841,4300,3300,3361,3500,3206
116,200000,1,2,2,30,83149,94976,106808,115702,122236,134013,13550,13590,12356,12500,14013,4900
117,70000,1,3,1,51,54968,51384,49734,50361,49185,47245,0,2100,1950,1900,2219,2100
118,100000,2,2,1,39,78353,77726,79151,80249,82405,77011,1200,3400,2900,3500,3000,6100
119,50000,2,2,1,43,17102,19805,21188,20550,21209,21713,3000,2000,0,1000,1000,1000
120,80000,2,2,1,40,5143,8351,3234,1819,1909,1909,6458,3917,1819,2299,1909,3069
121,170000,2,1,1,44,29940,15903,5641,2194,18601,2557,15927,5641,2194,18601,2557,3871
122,10000,1,2,2,24,2887,1923,2989,2813,2008,2132,0,1500,0,0,150,0
123,310000,2,2,1,37,44981,42940,43449,44925,42725,34303,1942,1460,1936,1742,1303,1249
124,230000,2,2,1,44,14029,9035,11979,6667,11972,8654,9140,12039,6700,11988,22,8910
125,110000,2,1,1,43,104622,103639,105714,105998,105080,105638,4000,5500,5300,4000,4100,12700
126,50000,1,3,2,37,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0
127,290000,1,3,2,41,293281,268030,157691,158720,144085,143663,7948,22429,5530,4442,5887,5890
128,30000,2,3,1,39,1937,640,1751,0,0,0,0,1751,0,0,0,0
129,50000,2,2,2,22,37253,38075,32982,31857,29647,29585,5500,6194,1200,0,2000,2000
130,70000,2,3,2,29,20064,24336,25510,24726,25377,24818,24336,3010,0,875,600,1000
131,200000,2,1,1,28,1760,0,0,0,0,0,0,0,0,0,0,0
132,360000,1,2,1,28,207571,182384,161295,199803,198614,2383,6114,4899,202074,200395,2383,98668
133,230000,2,1,1,36,1240,2078,380,2100,530,2282,2078,380,2100,530,2282,1390
134,210000,1,1,2,31,82940,84583,86357,88149,93654,82166,3024,3134,3228,7000,0,3000
135,200000,2,2,2,27,264,264,264,264,264,264,264,264,264,264,264,0
136,50000,1,3,1,39,26979,21029,18765,19145,19229,19026,1328,1298,678,687,691,700
137,300000,2,4,2,26,293880,242669,76777,34072,11632,15429,11128,47009,34044,11677,15483,6098
138,310000,2,1,2,28,8193,43012,36780,31372,17308,35943,43003,2107,1246,346,30000,53000
139,190000,2,1,2,26,31061,32129,33142,33726,35758,35171,1750,1720,1300,2600,0,1400
140,130000,1,2,2,26,137204,139189,133521,133182,103161,103031,7000,0,5133,5000,5000,5000
141,160000,1,2,1,35,160303,164150,0,0,0,0,8000,0,0,0,0,0
142,120000,1,2,1,47,2486,151,2853,2896,1149,1758,260,5753,1153,3,1759,4084
143,50000,2,2,2,22,22458,22571,22309,22315,22934,23243,1513,1500,1000,978,839,1800
144,120000,2,2,1,31,21134,20502,24832,24135,28723,31258,0,5000,0,5000,3000,0
145,330000,2,2,2,40,131096,127564,130167,132754,135691,139646,0,4725,4752,5077,6366,8550
146,50000,1,2,2,37,28731,27985,29000,29731,30400,33427,0,1482,1213,1300,3703,0
147,210000,2,2,1,42,2201,3571,987,2467,3319,5387,3571,987,2469,3319,5387,1607
148,340000,1,2,1,35,39229,40747,41930,43397,44710,46143,2000,2000,2000,2000,2000,2000
149,300000,2,1,1,47,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0
150,30000,1,3,2,53,28033,28675,28997,29214,28933,29134,1788,1500,1173,1100,1100,1000
151,60000,2,2,2,22,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617
152,160000,1,2,1,31,54835,46575,7169,9036,8749,9447,3500,2000,2000,0,1000,500
153,180000,2,3,2,28,176802,179271,180382,132104,129772,124734,6963,6208,3749,4365,4517,177
154,100000,2,3,1,42,7689,2052,1281,3770,2056,5628,0,1281,3786,2056,5634,6013
155,20000,1,2,2,41,16808,16741,14450,8796,5419,2377,1301,1000,8796,108,2377,15742
156,150000,2,2,2,34,1467,698,4102,713,810,5438,701,4137,719,817,5467,9587
157,80000,2,1,2,26,1238,376,2281,1356,355,-520,376,2281,0,0,0,35893
158,220000,1,1,2,48,115294,117945,130365,126780,129570,133553,6000,16000,0,5000,6300,3000
159,50000,1,2,2,26,48221,49629,48868,49668,49780,49980,2571,1200,1000,40000,1000,0
160,50000,1,1,1,50,49252,44326,39689,29422,12856,0,1521,1345,2074,238,0,0
161,360000,1,2,1,36,20328,12664,1901,2355,4206,5889,1204,1901,2355,4206,5889,0
162,500000,2,1,2,32,103880,39356,301441,37945,104491,35234,39560,302961,38139,104673,35387,177258
163,190000,2,1,1,30,6936,500,0,19000,19000,19000,500,0,19000,19000,19000,19000
164,80000,1,3,1,27,22381,11420,7021,6157,7606,3432,1500,3000,6157,1500,138,59
165,390000,1,2,2,28,149445,139794,133224,106127,51097,38555,8046,5150,5297,5084,5065,5042
166,70000,1,2,1,39,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0
167,390000,1,2,1,36,0,0,0,0,0,0,0,0,0,0,0,0
168,170000,2,1,1,45,165243,156688,151405,127090,126388,126399,7067,6443,4617,4711,4673,4603
169,90000,2,2,1,35,63426,57922,55010,52540,56236,40922,2700,2500,1900,4600,0,1600
170,150000,2,1,2,31,2005,2869,16719,8568,797,1158,2876,16732,8593,799,1161,41380
171,220000,2,1,1,47,210753,188270,177515,166282,100244,-607,6426,7160,6495,3993,0,176566
172,50000,1,2,2,25,1582,300,591,441,741,441,300,591,441,741,441,291
173,160000,2,1,1,37,316,316,0,316,632,0,316,0,316,632,0,316
174,140000,2,3,1,30,96304,98007,82227,65000,60848,58880,4505,12906,0,2210,2300,5200
175,20000,2,2,1,32,20631,20010,19703,11084,10918,10985,0,1168,384,390,632,616
176,180000,1,2,1,36,4524,6435,6894,8292,21866,0,2000,1200,2000,21866,0,0
177,90000,2,2,1,26,47121,49332,47590,50000,780,0,3000,2000,3000,780,0,2808
178,30000,2,1,2,40,142,215,139,19,19,79,355,120,0,0,60,60
179,30000,2,3,2,45,28611,23312,19590,18447,15525,0,1352,1290,4150,15525,0,0
180,20000,1,2,2,25,15863,14498,15064,13605,11844,10152,0,1157,574,423,374,648
181,150000,2,2,2,25,38494,38667,32794,30786,24250,20052,1516,1693,2007,1007,1000,1000
182,250000,2,2,2,26,124353,132251,148597,135715,76113,26366,10000,19888,2500,10302,17500,3000
183,50000,1,1,2,23,48954,35213,33404,18727,13793,19354,2000,4005,1000,1000,6000,1000
184,10000,1,2,1,44,6696,9080,8794,9604,9604,9800,2668,0,1192,0,196,0
185,140000,1,2,2,39,139079,143816,134472,130129,133031,136919,7000,4800,4659,5000,6100,6000
186,80000,1,2,1,34,11460,16000,0,0,0,0,5000,0,0,0,0,0
187,20000,2,2,2,35,14181,12467,6689,0,0,0,0,1000,0,0,0,0
188,500000,2,2,2,28,234957,215459,201715,141177,130352,126422,8086,7412,4721,3854,3622,3433
189,380000,1,1,1,49,380933,380703,356474,308948,547880,309322,14651,12238,13479,13532,12015,11525
190,210000,1,2,1,41,85639,87705,90376,90687,91888,93852,4200,4800,2500,3900,3400,3400
191,20000,1,2,1,44,16401,9620,9264,11693,11826,13242,3000,1000,3000,1000,2000,1000
192,50000,1,2,1,48,42156,40584,33777,18815,17033,17450,4022,1347,1013,1000,700,1000
193,380000,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0
194,150000,2,1,2,35,3299,596,978,1178,1007,2075,599,982,1007,5,2075,2669
195,60000,1,3,1,38,32232,25086,24404,25212,28147,30152,4000,0,1500,3500,2600,0
196,90000,2,1,2,23,11495,10764,11304,9601,10050,8304,1200,3000,0,2000,0,2000
197,120000,2,1,2,26,115520,98551,84797,66398,44428,31738,5001,5076,5000,3042,2110,600
198,420000,2,1,2,33,6135,-2314,-3859,172,3859,8274,51,0,4031,3859,5000,0
199,360000,1,1,1,32,2612,3218,6989,2729,1436,-14,3234,7021,6,7,0,0
200,200000,1,1,1,38,3048,0,100000,0,0,0,0,100000,0,0,0,0
201,30000,2,3,2,36,25437,26734,26011,27353,26776,28620,2000,0,2078,0,2291,0
202,30000,2,2,1,29,15361,18274,17697,18416,20099,21631,3175,0,1317,2000,2000,0
203,110000,1,1,2,29,104216,104343,142622,73702,75513,77111,7316,3000,6000,3000,2935,3011
204,280000,2,1,2,29,105403,51190,44598,38322,38255,31427,3109,1369,3002,3005,1505,2000
205,170000,2,2,2,36,2848,1941,0,0,0,0,1941,0,0,0,0,0
206,30000,2,2,2,23,33181,32359,33849,34522,33501,32129,0,2000,1389,1068,3000,2508
207,50000,1,3,2,39,34390,810,19009,18035,18364,18670,810,51000,0,1000,1000,1000
208,360000,1,1,2,30,30627,4297,2720,2040,2722,5057,4318,2740,2050,2736,5273,5105
209,50000,2,2,1,36,16906,17645,18478,10279,10646,10776,1314,1147,348,512,435,190
210,60000,1,2,1,29,40587,41642,40673,43342,44299,45222,2000,0,3348,1800,1800,0
211,170000,2,2,1,48,18727,64028,107946,13608,110667,6878,66513,108323,13608,112876,3998,1118
212,20000,1,2,2,37,7440,15960,0,-1953,5985,6893,10050,0,18047,7985,1000,2000
213,200000,2,2,2,32,13467,4345,0,0,171,1557,4366,0,0,171,1386,6
214,1000000,2,1,1,47,964511,983931,535020,891586,927171,961664,50784,50723,896040,50000,50000,50256
215,30000,1,2,1,37,15054,15104,15428,16273,16305,780,1551,1265,1500,841,0,0
216,50000,2,2,2,23,47662,41023,42162,6765,19286,9558,2000,2102,255,3000,191,0
217,30000,2,1,2,23,10764,10454,11862,12104,12351,8000,0,2000,242,247,2000,0
